6000 ,    7||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5940 ,    7||  60 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5940 ,    7||  59 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5940 ,    7||  59 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5940 ,    7||  59 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5939 ,    6||  59 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5939 ,    6||  49 ,    0||  10 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5939 ,    6||  49 ,    0||  10 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5939 ,    6||  49 ,    0||  10 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5475 ,    6|| 435 ,    0||  87 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5142 ,    5|| 713 ,    1|| 143 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
4901 ,    5|| 913 ,    1|| 183 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
4728 ,    5||1057 ,    1|| 211 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
4604 ,    5||1160 ,    2|| 232 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
4514 ,    5||1235 ,    2|| 247 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
4449 ,    5||1288 ,    3|| 257 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
4402 ,    5||1326 ,    4|| 265 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
4659 ,    6||1110 ,    4|| 222 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
4825 ,    7|| 971 ,    4|| 194 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
4933 ,    8|| 880 ,    4|| 176 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
5003 ,    9|| 820 ,    3|| 164 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
5296 ,   10|| 575 ,    3|| 115 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
5466 ,   11|| 345 ,    2|| 175 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
5564 ,   12|| 207 ,    1|| 214 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
5621 ,   12|| 124 ,    1|| 240 ,    1||   0 ,    0||   0 ,    0||   0 ,    0||
5928 ,   14||  56 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5924 ,   13||  59 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5924 ,   13||  59 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5923 ,   13||  59 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
